year,state,state_po,county,FIPS,candidate,party,candidatevotes,0
2016,West Virginia,WV,Calhoun,54013,Other,NA,126,
2016,West Virginia,WV,Clay,54015,Donald Trump,republican,2300,205
2016,West Virginia,WV,Clay,54015,Hillary Clinton,democrat,568,206
2016,West Virginia,WV,Clay,54015,Other,NA,104,
2016,West Virginia,WV,Doddridge,54017,Donald Trump,republican,2358,207
2016,West Virginia,WV,Doddridge,54017,Hillary Clinton,democrat,362,208
2016,West Virginia,WV,Doddridge,54017,Other,NA,120,
2016,West Virginia,WV,Fayette,54019,Donald Trump,republican,10357,209
2016,West Virginia,WV,Fayette,54019,Hillary Clinton,democrat,4290,210
2016,West Virginia,WV,Fayette,54019,Other,NA,690,
2016,West Virginia,WV,Gilmer,54021,Donald Trump,republican,1896,211
2016,West Virginia,WV,Gilmer,54021,Hillary Clinton,democrat,545,212
2016,West Virginia,WV,Gilmer,54021,Other,NA,102,
2016,West Virginia,WV,Grant,54023,Donald Trump,republican,4346,213
2016,West Virginia,WV,Grant,54023,Hillary Clinton,democrat,512,214
2016,West Virginia,WV,Grant,54023,Other,NA,98,
2016,West Virginia,WV,Greenbrier,54025,Donald Trump,republican,9556,215
2016,West Virginia,WV,Greenbrier,54025,Hillary Clinton,democrat,3765,216
2016,West Virginia,WV,Greenbrier,54025,Other,NA,745,
2016,West Virginia,WV,Hampshire,54027,Donald Trump,republican,6692,217
2016,West Virginia,WV,Hampshire,54027,Hillary Clinton,democrat,1580,218
2016,West Virginia,WV,Hampshire,54027,Other,NA,336,
2016,West Virginia,WV,Hancock,54029,Donald Trump,republican,8909,219
2016,West Virginia,WV,Hancock,54029,Hillary Clinton,democrat,3262,220
2016,West Virginia,WV,Hancock,54029,Other,NA,531,
2016,West Virginia,WV,Hardy,54031,Donald Trump,republican,4274,221
2016,West Virginia,WV,Hardy,54031,Hillary Clinton,democrat,1155,222
2016,West Virginia,WV,Hardy,54031,Other,NA,214,
2016,West Virginia,WV,Harrison,54033,Donald Trump,republican,18750,223
2016,West Virginia,WV,Harrison,54033,Hillary Clinton,democrat,7694,224
2016,West Virginia,WV,Harrison,54033,Other,NA,1516,
2016,West Virginia,WV,Jackson,54035,Donald Trump,republican,9020,225
