STATE_NAME,STUSPS,COUNTY_NAME,FIPS,PARTY
Texas,TX,Panola,48365,republican
Texas,TX,Parker,48367,republican
Texas,TX,Parmer,48369,republican
Texas,TX,Pecos,48371,republican
Texas,TX,Polk,48373,republican
Texas,TX,Potter,48375,republican
Texas,TX,Presidio,48377,democrat
Texas,TX,Rains,48379,republican
Texas,TX,Randall,48381,republican
Texas,TX,Reagan,48383,republican
Texas,TX,Real,48385,republican
Texas,TX,Red River,48387,republican
Texas,TX,Reeves,48389,democrat
Texas,TX,Refugio,48391,republican
Texas,TX,Roberts,48393,republican
Texas,TX,Robertson,48395,republican
Texas,TX,Rockwall,48397,republican
Texas,TX,Runnels,48399,republican
Texas,TX,Rusk,48401,republican
Texas,TX,Sabine,48403,republican
Texas,TX,San Augustine,48405,republican
Texas,TX,San Jacinto,48407,republican
Texas,TX,San Patricio,48409,republican
Texas,TX,San Saba,48411,republican
Texas,TX,Schleicher,48413,republican
Texas,TX,Scurry,48415,republican
Texas,TX,Shackelford,48417,republican
Texas,TX,Shelby,48419,republican
Texas,TX,Sherman,48421,republican
Texas,TX,Smith,48423,republican
Texas,TX,Somervell,48425,republican
Texas,TX,Starr,48427,democrat
Texas,TX,Stephens,48429,republican
Texas,TX,Sterling,48431,republican
Texas,TX,Stonewall,48433,republican
Texas,TX,Sutton,48435,republican
Texas,TX,Swisher,48437,republican
Texas,TX,Tarrant,48439,republican
Texas,TX,Taylor,48441,republican
Texas,TX,Terrell,48443,republican
Texas,TX,Terry,48445,republican
Texas,TX,Throckmorton,48447,republican
Texas,TX,Titus,48449,republican
Texas,TX,Tom Green,48451,republican
Texas,TX,Travis,48453,democrat
Texas,TX,Trinity,48455,republican
Texas,TX,Tyler,48457,republican
Texas,TX,Upshur,48459,republican
Texas,TX,Upton,48461,republican
Texas,TX,Uvalde,48463,republican
Texas,TX,Val Verde,48465,democrat
Texas,TX,Van Zandt,48467,republican
Texas,TX,Victoria,48469,republican
Texas,TX,Walker,48471,republican
